Date,Y,ft1,ft2,ft3,ft4,ft5,ft6,ft7,ft8,ft9,ft10,ft11,ft12,ft13,ft14,ft15
1988-02-05,11.093042,1560000.0,-0.317964807,-0.001466173,0.393322207,0.000331829,-0.00159017,-0.015432888,0.004777535,0.013649728,0.011553136,1.527185712,-0.002447957,0.020961661,-0.012607063,0.011749651
1988-02-08,11.027788,1822860.0,0.1685,-0.001771317,0.424268828,0.001073078,0.004344821,0.009588924,0.009490052,0.036962817,0.011763507,1.519172699,0.004453957,0.016307239,-0.022056129,0.015155169
1988-02-09,11.125668,2158104.0,0.183910997,0.000249302,-0.443210367,-0.001284405,-0.000505245,-0.012638575,0.031245133,0.007532887,0.024416162,1.501964333,-0.023787272,0.009769611,-0.000188462,-0.015604576
1988-02-10,11.288802,2603952.0,0.206592453,-0.000368521,-0.569614256,-0.003330144,-2.64e-05,0.003964084,0.007155627,0.014100187,0.001003601,1.487494102,0.025856002,0.003914113,-0.012674278,0.024584031
1988-02-11,11.256177,2761824.0,0.060627846,-0.000240255,0.475749503,0.002353288,-0.000779813,0.005565484,0.031213461,0.02509397,0.005329634,1.488006171,-0.003504853,-0.018282936,-0.016071509,0.021001289
1988-02-12,11.288802,2372760.0,-0.140872119,-0.002859541,0.014491677,0.007103665,-0.007012441,-0.01027929,0.00041205,0.013312526,0.043176615,1.49594045,0.000218361,-0.017842893,0.032279911,-0.020650908
1988-02-16,11.451933,2824536.0,0.190401052,0.000125486,-0.249498464,0.001067214,0.001774643,-0.014317224,0.053079924,0.024243566,0.022890847,1.516520372,0.019954256,-0.010971755,0.058615314,0.034110964
1988-02-17,11.451933,3012516.0,0.066552524,0.001604541,-0.254725343,-0.002384792,0.001971948,-0.027353833,0.01485001,0.012770079,0.007483377,1.508810005,0.04060582,0.015620049,0.026251736,-0.007190803
1988-02-18,11.288802,2304588.0,-0.234995598,0.000132996,0.133168168,0.001690843,9.17e-05,0.005935778,0.007753993,0.01134834,0.00417627,1.492510005,-0.006403981,0.007250228,-0.014945495,0.006748225
1988-02-19,11.288802,3199092.0,0.388140527,-0.001442801,-0.095934905,-0.004228938,0.002440657,0.007155711,0.000138562,0.003980889,0.025682485,1.478271527,-0.007004891,-0.024127257,-0.017245346,-0.018745759
1988-02-22,11.745572,3327636.0,0.040181401,-0.001081042,-0.212599873,0.010232496,-0.007713146,0.012445164,0.032529843,0.056455652,0.004748854,1.486840956,-0.02323176,0.04828066,0.098761187,-0.01438387
1988-02-23,11.582438,2622360.0,-0.211945056,0.000704818,0.440720905,0.003507259,0.001643203,0.008176567,0.008973487,0.02152436,0.025696687,1.473476686,0.061297167,0.009999224,0.019487693,0.006618808
1988-02-24,11.451933,2074800.0,-0.208804283,-0.000219379,-0.141773172,0.004642719,0.003415709,-0.033392774,0.013213819,0.016388269,0.012295891,1.445997069,0.016371628,-0.017868701,0.040812525,-0.022379895
1988-02-25,11.223545,3147144.0,0.516842105,0.000399497,-0.164357173,0.00117334,-0.003353784,0.010479692,0.000816984,0.061531561,0.023263668,1.428099957,-0.002678174,0.011508447,-0.113150797,0.009715256
1988-02-26,11.386679,1558752.0,-0.504709031,0.001263335,-0.436922795,0.0089387,0.003318691,-0.003532306,0.006816644,0.064764691,0.007157761,1.448162747,-0.033152086,0.004884518,0.017799195,0.006804056
1988-02-29,11.876081,3658824.0,1.347277822,0.000127272,-0.225015476,0.01135948,0.000194447,-0.019707318,0.001927488,0.00364961,0.006801189,1.473582916,0.00479228,0.017936782,0.042736082,0.024137799
1988-03-01,11.745572,2937792.0,-0.197066598,0.000713747,-0.183106614,0.000158437,-0.003595988,-0.022529603,0.000193251,0.031156573,0.000216395,1.477829122,-0.01696086,0.021453401,-0.001905588,0.004822088
